Date,Open,High,Low,Close,Volume
1/3/2000 15:30:00,5209.54,5384.66,5209.54,5375.11,0
1/4/2000 15:30:00,5533.98,5533.98,5376.43,5491.01,0
1/5/2000 15:30:00,5265.09,5464.35,5184.48,5357,0
1/6/2000 15:30:00,5424.21,5489.86,5391.33,5421.53,0
1/7/2000 15:30:00,5358.28,5463.25,5330.58,5414.48,0
1/10/2000 15:30:00,5617.59,5668.28,5459.97,5518.39,0
1/11/2000 15:30:00,5513.04,5537.69,5221.28,5296.3,0
1/12/2000 15:30:00,5267.85,5494.3,5267.85,5491.2,0
1/13/2000 15:30:00,5568.64,5652.22,5430.81,5444.82,0
1/14/2000 15:30:00,5460.31,5476.38,5344.59,5471.27,0
1/17/2000 15:30:00,5617.7,5664.5,5404.07,5404.07,0
1/18/2000 15:30:00,5414.26,5465.54,5347.92,5464.51,0
1/19/2000 15:30:00,5496.68,5528.12,5460.68,5478.24,0
1/20/2000 15:30:00,5508.04,5516.16,5348.56,5355.8,0
1/21/2000 15:30:00,5352.63,5441.83,5330.08,5423.05,0
1/24/2000 15:30:00,5529.38,5583.22,5439.48,5458.06,0
1/25/2000 15:30:00,5412.49,5430.29,5351.22,5367.79,0
1/27/2000 15:30:00,5424.14,5457.3,5362.25,5369.1,0
1/28/2000 15:30:00,5417.53,5417.53,5331.54,5335.8,0
1/31/2000 15:30:00,5338.67,5345.3,5186.32,5205.29,0
2/1/2000 15:30:00,5217.65,5232.84,5127.79,5215.54,0
2/2/2000 15:30:00,5264.62,5342.98,5264.62,5304.92,0
2/3/2000 15:30:00,5366.62,5381.74,5323.32,5340.19,0
2/4/2000 15:30:00,5394,5402.7,5313.59,5313.59,0
2/7/2000 15:30:00,5431.55,5518.29,5431.55,5474,0
2/8/2000 15:30:00,5585.38,5647.64,5585.38,5610.56,0
2/9/2000 15:30:00,5704.01,5756.87,5635.69,5649.1,0
2/10/2000 15:30:00,5765.28,5789.04,5715.05,5789.04,0
2/11/2000 15:30:00,5985.05,6005.85,5917.04,5933.56,0
2/14/2000 15:30:00,6130.23,6150.69,5923.17,5924.31,0
2/15/2000 15:30:00,5797.31,5941.88,5774.32,5803.19,0
2/16/2000 15:30:00,5782.2,5864.97,5711.75,5725.5,0
2/17/2000 15:30:00,5810.24,5877.04,5799.79,5835.15,0
2/18/2000 15:30:00,5894.19,5894.19,5681.98,5721.65,0
2/21/2000 15:30:00,5874.25,5941.9,5834.51,5876.89,0
2/22/2000 15:30:00,6000.3,6009.02,5864.79,5883.33,0
2/23/2000 15:30:00,6002.49,6033.98,5612.55,5642.46,0
2/24/2000 15:30:00,5764.16,5816.16,5620.83,5810.17,0
2/25/2000 15:30:00,5840.25,5840.25,5623.08,5623.08,0
2/28/2000 15:30:00,5737.53,5740.69,5580.05,5740.69,0
2/29/2000 15:30:00,5827.81,5903.49,5383.61,5446.98,0
